name;length;10;20;30;40;50
>hsa-mir-6514 MI0022226 Homo sapiens miR-6514 stem-loop;70;19;18;17;22;40;
>random_seq_from_cds__NO_61860;88;39;43;47;55;57;
>random_seq_from_cds__NO_57364;84;49;51;55;57;62;
>random_seq_from_cds__NO_55185;70;25;26;25;30;31;
>random_seq_from_cds__NO_56038;82;35;34;37;45;44;
>random_seq_from_cds__NO_49731;110;66;69;70;71;71;
>hsa-mir-6506 MI0022218 Homo sapiens miR-6506 stem-loop;66;23;23;23;25;27;
>hsa-mir-224 MI0000301 Homo sapiens miR-224 stem-loop;81;10;9;9;12;17;
>hsa-mir-1288 MI0006432 Homo sapiens miR-1288 stem-loop;75;18;20;22;27;32;
>hsa-mir-587 MI0003595 Homo sapiens miR-587 stem-loop;96;8;9;10;16;17;
>hsa-mir-4489 MI0016850 Homo sapiens miR-4489 stem-loop;62;13;13;14;19;22;
>random_seq_from_cds__NO_62703;106;56;63;69;72;71;
>random_seq_from_cds__NO_23579;78;29;28;29;32;32;
>hsa-mir-1272 MI0006408 Homo sapiens miR-1272 stem-loop;129;23;19;22;30;35;
>hsa-mir-5739 MI0019412 Homo sapiens miR-5739 stem-loop;80;36;41;39;47;51;
>random_seq_from_cds__NO_55173;89;45;47;53;65;64;
>random_seq_from_cds__NO_40934;70;34;36;38;42;45;
>hsa-mir-3163 MI0014193 Homo sapiens miR-3163 stem-loop;73;3;3;3;3;4;
>random_seq_from_cds__NO_40928;73;25;28;30;37;39;
>random_seq_from_cds__NO_67153;86;27;30;30;41;45;
>random_seq_from_cds__NO_13776;81;44;47;47;52;51;
>hsa-mir-615 MI0003628 Homo sapiens miR-615 stem-loop;96;6;7;9;11;11;
>random_seq_from_cds__NO_45381;82;46;46;49;56;46;
>random_seq_from_cds__NO_50709;82;45;44;44;51;56;
>random_seq_from_cds__NO_12470;73;23;26;30;32;37;
>random_seq_from_cds__NO_516;75;26;27;29;45;41;
>hsa-mir-4296 MI0015823 Homo sapiens miR-4296 stem-loop;88;46;47;45;57;63;
>hsa-mir-4307 MI0015838 Homo sapiens miR-4307 stem-loop;84;18;18;21;26;30;
>hsa-mir-5100 MI0019116 Homo sapiens miR-5100 stem-loop;119;72;73;73;75;75;
>hsa-mir-506 MI0003193 Homo sapiens miR-506 stem-loop;124;25;27;23;21;19;
>random_seq_from_cds__NO_5316;90;57;57;59;63;68;
>random_seq_from_cds__NO_39913;71;24;24;26;33;38;
>hsa-mir-4638 MI0017265 Homo sapiens miR-4638 stem-loop;68;31;30;30;32;33;
>hsa-mir-660 MI0003684 Homo sapiens miR-660 stem-loop;97;29;36;34;42;50;
>random_seq_from_cds__NO_46684;86;21;23;20;32;43;
>random_seq_from_cds__NO_68470;95;33;43;50;56;64;
>hsa-mir-548ap MI0017875 Homo sapiens miR-548ap stem-loop;96;9;8;10;15;22;
>random_seq_from_cds__NO_45350;99;54;55;59;63;71;
>random_seq_from_cds__NO_15971;72;41;42;43;42;47;
>random_seq_from_cds__NO_69799;110;75;74;73;77;79;
>random_seq_from_cds__NO_20089;86;51;60;56;60;58;
>random_seq_from_cds__NO_46699;89;27;30;30;40;45;
>hsa-mir-1973 MI0009983 Homo sapiens miR-1973 stem-loop;44;29;37;34;37;33;
>random_seq_from_cds__NO_34234;74;19;18;17;19;16;
>random_seq_from_cds__NO_27956;86;47;45;46;56;63;
>hsa-mir-548x MI0014244 Homo sapiens miR-548x stem-loop;75;4;5;5;9;10;
